"Elevation","Aspect","Slope","Horizontal_Distance_To_Hydrology","Vertical_Distance_To_Hydrology","Horizontal_Distance_To_Roadways","Hillshade_9am","Hillshade_Noon","Hillshade_3pm","Horizontal_Distance_To_Fire_Points","Wilderness_Area","Soil_Type","Class"
3059,261,10,150,13,5566,197,245,187,2100,"Rawah","7202","Lodgepole Pine"
3330,8,14,785,198,3249,202,210,143,792,"Comanche Peak","7700","Spruce-Fir"
3284,324,13,532,145,2335,188,226,178,0,"Comanche Peak","7757","Spruce-Fir"
3255,302,9,268,20,4502,194,236,181,721,"Rawah","8772","Spruce-Fir"
2444,273,29,120,58,792,131,233,234,1544,"Cache la Poudre","4703","Lodgepole Pine"
3009,325,13,192,55,2143,186,225,178,1113,"Rawah","7745","Lodgepole Pine"
2653,8,18,285,47,2704,196,202,139,2541,"Comanche Peak","4703","Lodgepole Pine"
3054,71,16,95,3,4824,236,207,98,2044,"Rawah","7745","Spruce-Fir"
2818,160,16,228,65,3336,235,242,133,3065,"Rawah","4744","Lodgepole Pine"
3114,85,20,301,139,2047,244,202,78,3782,"Rawah","7745","Spruce-Fir"
2908,21,17,666,113,3084,207,202,128,1490,"Comanche Peak","7756","Lodgepole Pine"
2919,317,8,90,-6,1744,200,233,173,1542,"Comanche Peak","7202","Lodgepole Pine"
2879,278,27,201,36,2654,136,232,230,755,"Comanche Peak","4758","Lodgepole Pine"
3011,0,0,840,39,5802,218,238,156,6307,"Rawah","4744","Spruce-Fir"
2955,38,6,67,7,1575,220,227,143,942,"Comanche Peak","7202","Lodgepole Pine"
3612,3,18,458,200,3036,192,202,144,1426,"Rawah","8776","Spruce-Fir"
2919,117,14,210,25,4644,243,227,110,1725,"Rawah","7745","Lodgepole Pine"
2892,63,18,514,81,1731,233,200,92,2773,"Comanche Peak","7202","Lodgepole Pine"
2952,270,9,30,-1,330,197,243,186,721,"Neota","7202","Spruce-Fir"
2847,340,13,60,12,1110,192,221,167,2310,"Comanche Peak","7700","Spruce-Fir"
2662,53,15,201,57,391,227,207,109,256,"Comanche Peak","4703","Lodgepole Pine"
2376,33,28,335,108,420,202,167,86,1008,"Cache la Poudre","4703","Lodgepole Pine"
2811,25,30,488,207,1253,190,160,90,700,"Comanche Peak","7757","Lodgepole Pine"
3195,351,21,67,16,2664,178,200,157,2725,"Comanche Peak","7700","Spruce-Fir"
3198,66,15,170,-2,3237,233,210,105,4872,"Rawah","7745","Spruce-Fir"
3193,14,12,636,68,2058,209,216,143,2460,"Comanche Peak","7700","Spruce-Fir"
2660,130,18,85,25,277,247,226,101,541,"Rawah","7746","Lodgepole Pine"
2945,6,26,150,86,902,178,180,130,3489,"Comanche Peak","7700","Spruce-Fir"
2711,1,13,90,30,2509,201,215,151,2264,"Rawah","7745","Lodgepole Pine"
2433,329,18,0,0,942,173,215,180,618,"Cache la Poudre","4703","Lodgepole Pine"
2861,16,12,30,0,190,209,214,140,2126,"Rawah","7202","Lodgepole Pine"
3311,349,8,0,0,3072,205,226,160,2108,"Rawah","8771","Spruce-Fir"
3232,357,14,902,29,1652,197,213,153,912,"Comanche Peak","7757","Spruce-Fir"
3298,279,11,90,28,6086,191,242,191,612,"Rawah","8771","Spruce-Fir"
3007,107,15,153,38,2132,245,220,100,2474,"Comanche Peak","7756","Spruce-Fir"
2923,66,16,134,39,1465,234,207,101,1110,"Comanche Peak","7755","Lodgepole Pine"
2877,73,9,446,40,3868,231,223,124,5945,"Rawah","4744","Lodgepole Pine"
2811,79,31,30,-16,2040,242,169,33,1714,"Comanche Peak","4758","Lodgepole Pine"
2681,286,28,216,87,1448,133,226,228,1048,"Comanche Peak","4758","Lodgepole Pine"
3267,41,5,319,36,366,220,229,145,1388,"Neota","7756","Lodgepole Pine"
3217,267,20,350,86,1745,165,244,216,2188,"Comanche Peak","7757","Spruce-Fir"
3243,28,16,684,105,2263,212,204,124,2349,"Comanche Peak","7700","Spruce-Fir"
3113,336,3,242,18,5613,213,235,160,1183,"Rawah","7102","Spruce-Fir"
3057,347,17,85,13,3703,185,211,162,2720,"Rawah","7700","Spruce-Fir"
2750,39,26,192,58,1261,211,173,83,2180,"Rawah","7745","Lodgepole Pine"
2925,246,32,242,128,2601,138,244,231,1652,"Comanche Peak","7757","Spruce-Fir"
2703,93,10,216,35,1127,236,225,120,3017,"Rawah","4744","Lodgepole Pine"
2662,65,11,127,11,417,230,218,119,1539,"Rawah","4744","Lodgepole Pine"
3021,223,9,192,-14,2377,209,249,176,1187,"Comanche Peak","7755","Lodgepole Pine"
3219,80,7,30,-2,2490,230,228,131,1248,"Rawah","7202","Spruce-Fir"
3045,36,13,85,17,2911,219,211,126,1237,"Comanche Peak","7755","Lodgepole Pine"
3151,8,5,212,-26,895,214,230,153,979,"Neota","7201","Spruce-Fir"
3076,23,21,872,207,2634,202,189,117,2011,"Comanche Peak","7700","Lodgepole Pine"
3000,354,9,390,24,5285,206,225,158,1421,"Rawah","7745","Lodgepole Pine"
3248,132,14,570,41,1518,242,232,117,2777,"Comanche Peak","7757","Lodgepole Pine"
2603,1,10,285,51,1249,206,222,153,1364,"Comanche Peak","4704","Lodgepole Pine"
3216,45,7,30,2,2406,222,225,138,1167,"Rawah","7202","Spruce-Fir"
2958,185,6,150,46,2383,221,244,158,882,"Comanche Peak","7201","Lodgepole Pine"
2915,21,16,42,5,497,208,205,130,1566,"Comanche Peak","7700","Lodgepole Pine"
3183,65,21,457,-11,967,234,193,81,1456,"Neota","7756","Spruce-Fir"
3338,154,25,576,173,1655,240,232,106,1290,"Neota","7757","Spruce-Fir"
2934,225,22,134,44,5050,184,254,200,1216,"Rawah","7746","Lodgepole Pine"
2924,152,9,228,24,4700,232,240,140,335,"Rawah","7746","Lodgepole Pine"
2987,20,6,90,11,5366,216,227,148,2403,"Rawah","7101","Spruce-Fir"
3132,145,17,175,26,2442,241,235,117,1676,"Comanche Peak","7756","Lodgepole Pine"
2852,88,22,108,27,1291,246,199,71,2412,"Comanche Peak","7755","Lodgepole Pine"
2962,313,38,277,164,930,96,183,212,1338,"Comanche Peak","7757","Spruce-Fir"
2908,184,9,108,19,1639,222,247,157,2241,"Comanche Peak","2705","Lodgepole Pine"
3259,79,12,180,101,4903,236,217,110,1541,"Rawah","7745","Spruce-Fir"
3203,262,7,324,-3,771,204,244,179,2193,"Comanche Peak","7202","Lodgepole Pine"
3173,352,11,417,86,3078,200,221,159,1637,"Comanche Peak","7755","Spruce-Fir"
3309,54,14,297,44,1019,228,208,111,661,"Neota","7756","Spruce-Fir"
2939,20,7,234,26,4805,215,225,147,3963,"Rawah","7202","Spruce-Fir"
3071,108,7,216,40,509,232,232,133,1332,"Comanche Peak","7201","Lodgepole Pine"
2975,157,19,350,124,5527,237,239,124,731,"Rawah","7746","Lodgepole Pine"
2998,0,9,247,20,3114,206,222,154,6099,"Rawah","7745","Spruce-Fir"
3187,326,7,153,1,1343,203,232,168,677,"Neota","7700","Spruce-Fir"
2600,24,9,30,0,1165,215,220,141,1749,"Comanche Peak","4704","Lodgepole Pine"
3257,184,11,446,55,2594,223,247,157,1326,"Comanche Peak","7757","Spruce-Fir"
3114,321,6,283,39,2087,204,234,169,2364,"Comanche Peak","7756","Lodgepole Pine"
3037,48,7,408,62,2900,223,225,137,6541,"Rawah","7745","Spruce-Fir"
2978,4,13,481,125,2914,203,215,149,1552,"Comanche Peak","4703","Lodgepole Pine"
2665,57,10,607,-1,780,227,220,126,1589,"Rawah","7745","Lodgepole Pine"
2991,331,12,424,151,5273,190,224,173,5125,"Rawah","7700","Lodgepole Pine"
2692,321,3,390,45,874,211,236,164,1954,"Rawah","7745","Lodgepole Pine"
3173,62,15,684,168,2308,231,208,106,2758,"Comanche Peak","7700","Spruce-Fir"
2648,23,23,95,30,2160,199,183,112,895,"Comanche Peak","4703","Lodgepole Pine"
3054,111,16,90,4,3756,246,221,99,2764,"Rawah","7745","Spruce-Fir"
2604,22,8,150,42,1505,215,222,144,4754,"Rawah","6731","Lodgepole Pine"
3157,322,22,234,86,4340,158,212,191,1107,"Rawah","7201","Spruce-Fir"
3277,297,9,531,117,4170,195,237,182,2353,"Comanche Peak","8771","Spruce-Fir"
3262,23,7,330,-16,1489,216,225,145,1559,"Rawah","8771","Spruce-Fir"
3181,202,15,939,-88,4183,212,252,171,1413,"Comanche Peak","7755","Lodgepole Pine"
2942,43,8,446,52,4205,222,223,136,5669,"Rawah","4744","Lodgepole Pine"
2975,105,8,212,-9,4602,234,230,128,2321,"Rawah","7745","Lodgepole Pine"
3016,35,11,467,39,1127,219,215,130,2271,"Rawah","7745","Lodgepole Pine"
3149,188,5,127,17,6571,220,244,159,2015,"Rawah","7745","Spruce-Fir"
2322,11,21,182,77,240,193,193,131,837,"Cache la Poudre","2703","Lodgepole Pine"
3119,146,5,60,6,6887,228,239,145,2423,"Rawah","7745","Lodgepole Pine"
2970,326,14,503,50,5213,186,224,178,1856,"Rawah","7745","Lodgepole Pine"
2836,95,15,0,0,3944,243,216,98,2942,"Rawah","7746","Spruce-Fir"
2997,113,20,150,35,2483,249,216,86,547,"Rawah","7746","Lodgepole Pine"
2904,149,10,255,9,2190,233,240,137,752,"Comanche Peak","7756","Lodgepole Pine"
2867,221,15,180,54,1578,200,253,186,785,"Comanche Peak","4758","Lodgepole Pine"
3004,79,4,297,19,5287,224,233,144,5181,"Rawah","7101","Spruce-Fir"
3183,239,12,395,48,408,197,250,190,2781,"Comanche Peak","7755","Lodgepole Pine"
3008,351,13,450,161,6139,196,217,159,4015,"Rawah","7745","Lodgepole Pine"
3042,317,27,360,-61,1200,140,205,200,2912,"Rawah","7745","Spruce-Fir"
2981,288,11,297,64,4671,189,239,190,2003,"Rawah","4744","Lodgepole Pine"
3415,175,13,395,59,2850,227,246,149,1760,"Comanche Peak","7756","Spruce-Fir"
3010,182,11,30,-5,859,223,248,156,834,"Comanche Peak","7202","Lodgepole Pine"
3250,73,5,560,71,4293,226,230,139,2671,"Rawah","7201","Spruce-Fir"
3196,59,29,457,42,4897,227,167,54,3231,"Rawah","7746","Spruce-Fir"
3128,257,8,42,3,5595,202,245,181,2616,"Rawah","7101","Lodgepole Pine"
2988,45,6,421,69,4824,222,226,139,6105,"Rawah","4744","Lodgepole Pine"
2410,323,17,95,45,658,173,220,185,1395,"Cache la Poudre","4703","Lodgepole Pine"
2999,307,18,95,33,1261,166,226,199,379,"Comanche Peak","7756","Lodgepole Pine"
2747,357,9,67,16,2763,205,223,155,4789,"Rawah","7700","Lodgepole Pine"
2971,316,18,60,19,1465,170,222,191,2096,"Comanche Peak","7757","Lodgepole Pine"
2784,143,2,216,17,2348,223,238,151,1812,"Rawah","4744","Lodgepole Pine"
3050,71,10,666,29,3840,231,221,121,4562,"Rawah","7745","Lodgepole Pine"
2923,3,12,430,46,437,204,217,150,964,"Comanche Peak","7755","Spruce-Fir"
3090,42,17,540,10,1878,220,201,111,2429,"Rawah","7745","Lodgepole Pine"
2893,283,16,210,47,5187,173,239,205,630,"Rawah","7745","Lodgepole Pine"
2953,12,13,591,134,1380,206,212,142,2684,"Comanche Peak","7757","Lodgepole Pine"
3355,273,14,175,45,3822,181,243,201,900,"Rawah","8772","Spruce-Fir"
2892,51,18,0,0,3408,226,197,99,2714,"Rawah","7202","Lodgepole Pine"
2585,91,38,67,40,1678,246,153,0,1398,"Comanche Peak","4758","Lodgepole Pine"
2749,15,12,30,5,2648,209,215,142,4495,"Rawah","7102","Lodgepole Pine"
2931,45,20,60,13,480,221,191,96,1681,"Comanche Peak","7757","Lodgepole Pine"
2883,295,25,242,96,1154,144,224,217,1218,"Comanche Peak","4758","Lodgepole Pine"
2900,335,11,0,0,819,195,225,169,2737,"Rawah","7202","Spruce-Fir"
2976,99,10,30,-3,5486,237,226,119,2318,"Rawah","7101","Spruce-Fir"
2985,67,7,524,66,5155,228,226,132,5529,"Rawah","4744","Spruce-Fir"
3222,215,15,361,88,700,205,253,181,4860,"Neota","7201","Lodgepole Pine"
2998,324,6,256,21,1449,204,233,168,1565,"Comanche Peak","7755","Lodgepole Pine"
3042,101,20,210,0,677,249,208,79,700,"Rawah","7745","Spruce-Fir"
2732,32,10,295,26,1972,218,218,134,3776,"Rawah","4744","Lodgepole Pine"
3044,192,12,725,-84,6083,219,249,162,3076,"Rawah","7102","Lodgepole Pine"
3255,186,15,424,41,774,222,249,157,2514,"Comanche Peak","4758","Lodgepole Pine"
2962,25,15,571,93,2337,211,205,127,1994,"Comanche Peak","7700","Lodgepole Pine"
3099,332,6,618,56,721,207,233,165,914,"Neota","7201","Lodgepole Pine"
3205,355,11,569,61,6128,202,221,156,1231,"Rawah","7745","Spruce-Fir"
2984,273,17,175,20,2398,174,243,208,426,"Rawah","7745","Spruce-Fir"
2695,27,7,366,64,1359,218,225,144,1482,"Rawah","4744","Lodgepole Pine"
2554,61,2,60,8,446,221,234,149,5615,"Rawah","6731","Lodgepole Pine"
3280,187,15,390,48,4434,220,250,158,2401,"Comanche Peak","7757","Spruce-Fir"
3226,237,16,782,117,540,190,252,197,2918,"Comanche Peak","7756","Lodgepole Pine"
2825,17,9,210,76,2154,213,221,145,1148,"Comanche Peak","7757","Lodgepole Pine"
2847,342,9,67,11,2742,201,226,164,2674,"Rawah","4744","Lodgepole Pine"
2706,45,27,170,41,2663,215,169,72,1082,"Comanche Peak","4703","Lodgepole Pine"
2849,46,25,390,182,418,218,177,80,1888,"Rawah","7745","Lodgepole Pine"
2945,280,4,0,0,360,208,240,170,918,"Neota","7202","Spruce-Fir"
2865,49,5,400,48,2065,222,229,143,2230,"Rawah","7745","Lodgepole Pine"
2816,338,3,30,3,1273,214,235,160,510,"Comanche Peak","7202","Lodgepole Pine"
3165,115,13,256,55,1290,243,226,110,1739,"Comanche Peak","4758","Lodgepole Pine"
3051,62,26,272,38,4694,231,176,62,2971,"Rawah","7745","Spruce-Fir"
2982,181,13,0,0,972,224,248,154,808,"Comanche Peak","7202","Lodgepole Pine"
3248,158,11,242,82,685,232,242,140,2023,"Neota","4758","Spruce-Fir"
3027,339,11,60,10,3515,197,225,166,765,"Comanche Peak","7201","Spruce-Fir"
3266,302,7,134,24,3437,200,237,177,1608,"Comanche Peak","7202","Spruce-Fir"
3187,271,11,511,40,2679,192,244,191,180,"Comanche Peak","7756","Spruce-Fir"
3009,69,4,492,121,2496,224,231,143,1834,"Comanche Peak","7756","Lodgepole Pine"
3138,115,24,470,205,1764,253,208,68,2884,"Comanche Peak","7757","Spruce-Fir"
3168,183,13,285,45,2398,223,248,156,942,"Comanche Peak","7756","Lodgepole Pine"
2902,127,18,190,56,2142,247,225,98,1338,"Comanche Peak","4758","Lodgepole Pine"
3014,64,9,134,7,2873,229,221,125,745,"Rawah","7745","Spruce-Fir"
3228,197,16,134,33,1142,214,252,167,418,"Comanche Peak","7756","Spruce-Fir"
2937,93,25,400,132,430,249,194,59,1460,"Rawah","7745","Spruce-Fir"
2642,77,13,277,-9,1302,236,216,108,853,"Rawah","7745","Lodgepole Pine"
3191,45,12,800,19,4204,223,214,123,2088,"Rawah","7202","Spruce-Fir"
2568,304,23,268,97,664,151,221,208,571,"Comanche Peak","4703","Lodgepole Pine"
3276,325,28,618,-54,618,139,196,191,3151,"Neota","7202","Lodgepole Pine"
3036,167,12,408,-63,571,230,244,144,1288,"Rawah","7201","Spruce-Fir"
2692,7,22,228,103,1200,189,192,135,819,"Comanche Peak","7757","Lodgepole Pine"
3007,65,15,212,56,5248,233,208,103,582,"Rawah","7746","Lodgepole Pine"
2760,353,13,60,9,2024,197,217,157,2733,"Rawah","7745","Lodgepole Pine"
2763,80,11,30,0,1471,234,221,118,2105,"Rawah","7745","Lodgepole Pine"
3067,325,20,256,56,716,165,213,186,1652,"Comanche Peak","7201","Spruce-Fir"
2649,183,16,30,4,1820,223,249,154,1077,"Comanche Peak","2705","Spruce-Fir"
3084,167,17,841,256,4448,232,244,137,1485,"Comanche Peak","7757","Lodgepole Pine"
2777,104,12,150,28,1952,241,224,111,658,"Comanche Peak","7755","Lodgepole Pine"
2975,251,10,30,-8,5295,198,247,187,2524,"Rawah","7202","Lodgepole Pine"
2962,50,20,319,31,2030,224,192,93,892,"Comanche Peak","7755","Spruce-Fir"
2771,61,14,240,121,1332,231,209,107,2074,"Comanche Peak","7757","Lodgepole Pine"
3284,85,16,335,55,458,242,210,94,713,"Neota","7700","Lodgepole Pine"
2988,207,12,218,32,1248,212,251,173,1613,"Comanche Peak","7755","Lodgepole Pine"
3154,214,10,192,22,566,211,250,174,5072,"Neota","7201","Lodgepole Pine"
3279,216,12,309,46,2177,207,252,179,1189,"Rawah","7745","Lodgepole Pine"
3376,304,13,90,12,2271,185,233,188,1567,"Comanche Peak","8771","Spruce-Fir"
3134,26,8,170,13,1570,216,222,142,1120,"Neota","7700","Lodgepole Pine"
3014,8,9,721,42,5698,210,223,150,6439,"Rawah","7745","Spruce-Fir"
3140,270,7,309,8,1302,202,243,180,1920,"Comanche Peak","7756","Lodgepole Pine"
3068,69,15,360,0,3518,234,210,103,4952,"Rawah","7745","Lodgepole Pine"
2705,48,12,90,4,1471,224,214,122,2257,"Comanche Peak","4704","Lodgepole Pine"
3026,220,15,604,317,2546,201,253,186,1182,"Comanche Peak","4758","Lodgepole Pine"
2550,84,7,552,4,977,231,227,129,3891,"Rawah","6731","Lodgepole Pine"
2904,192,8,330,28,3612,220,247,161,3823,"Rawah","4744","Lodgepole Pine"
2938,351,13,497,61,510,196,217,159,1012,"Comanche Peak","7700","Spruce-Fir"
2801,37,7,511,58,3097,220,224,139,6505,"Rawah","4744","Lodgepole Pine"
2824,18,6,85,0,1585,216,227,149,2532,"Rawah","7745","Lodgepole Pine"
2878,59,15,492,67,1747,230,207,106,2951,"Comanche Peak","7202","Spruce-Fir"
2977,285,5,182,42,4953,207,240,172,1998,"Rawah","7745","Spruce-Fir"
2896,206,24,182,19,1670,197,253,180,2419,"Comanche Peak","7757","Lodgepole Pine"
2989,354,17,228,47,510,189,207,155,1348,"Comanche Peak","7700","Lodgepole Pine"
3307,60,8,124,-4,5504,226,224,132,860,"Rawah","8771","Spruce-Fir"
2864,1,20,60,11,808,188,200,146,1852,"Comanche Peak","7700","Lodgepole Pine"
3270,57,31,335,63,1739,224,160,47,2497,"Comanche Peak","7757","Spruce-Fir"
3047,118,15,335,82,3945,244,226,107,2337,"Rawah","7746","Lodgepole Pine"
3290,142,14,391,78,1482,239,236,123,2001,"Comanche Peak","7757","Spruce-Fir"
3099,180,7,424,58,474,223,245,156,1519,"Comanche Peak","7201","Lodgepole Pine"
2938,40,14,201,-6,757,220,208,119,2093,"Comanche Peak","7700","Spruce-Fir"
2583,49,11,210,38,553,224,217,125,1084,"Rawah","4201","Lodgepole Pine"
2775,165,7,258,18,1840,227,243,149,2758,"Rawah","4744","Lodgepole Pine"
2766,327,7,175,-3,1866,204,233,168,2758,"Rawah","7745","Lodgepole Pine"
2857,97,17,216,67,4532,245,213,91,4875,"Rawah","7700","Lodgepole Pine"
2978,140,12,134,16,2128,237,236,128,2865,"Comanche Peak","7756","Lodgepole Pine"
2645,191,26,90,28,1980,210,249,158,1129,"Comanche Peak","2705","Lodgepole Pine"
3347,168,14,361,55,3095,231,245,142,1159,"Comanche Peak","7756","Lodgepole Pine"
3128,303,20,268,5,3387,162,227,204,2100,"Rawah","7700","Spruce-Fir"
2920,355,21,242,66,764,180,197,151,1781,"Comanche Peak","7700","Lodgepole Pine"
2872,237,28,295,157,1690,159,250,218,1710,"Comanche Peak","7790","Lodgepole Pine"
3004,107,16,134,13,5395,245,220,99,4932,"Rawah","7745","Spruce-Fir"
3065,253,8,552,89,6069,202,246,182,1645,"Rawah","7745","Spruce-Fir"
2920,28,21,212,67,2308,207,190,111,2018,"Comanche Peak","7757","Spruce-Fir"
2783,68,7,42,-1,3272,227,226,133,1597,"Comanche Peak","7756","Lodgepole Pine"
2922,108,2,42,3,5067,223,236,149,3436,"Rawah","7202","Spruce-Fir"
3185,345,11,589,92,2690,198,222,163,3728,"Rawah","7746","Spruce-Fir"
3057,199,10,616,-25,5857,217,249,166,3023,"Rawah","7745","Lodgepole Pine"
3204,61,20,240,5,2014,232,195,87,787,"Rawah","7201","Spruce-Fir"
2850,164,10,120,38,2490,230,243,145,1879,"Rawah","7746","Lodgepole Pine"
3306,24,3,124,0,5487,218,233,152,592,"Rawah","8771","Spruce-Fir"
3231,13,13,1092,40,3986,207,214,142,2393,"Rawah","7202","Spruce-Fir"
3123,197,18,85,7,3643,213,252,168,4965,"Rawah","7745","Spruce-Fir"
3163,209,6,42,4,854,216,246,166,2329,"Neota","7202","Spruce-Fir"
3351,99,27,234,0,2469,252,192,51,4303,"Neota","8776","Spruce-Fir"
2745,305,17,190,7,1939,171,229,197,541,"Comanche Peak","7755","Lodgepole Pine"
2959,37,7,339,53,3561,220,224,139,1622,"Rawah","7745","Lodgepole Pine"
3193,321,16,511,125,450,176,222,185,1575,"Neota","7201","Spruce-Fir"
2863,110,8,484,95,3645,234,231,129,5995,"Rawah","4744","Lodgepole Pine"
2661,126,21,60,23,914,249,221,90,1867,"Rawah","7746","Lodgepole Pine"
3184,333,13,854,103,1505,191,223,172,2552,"Comanche Peak","7756","Spruce-Fir"
2853,15,5,361,55,2014,215,229,150,1600,"Rawah","4744","Lodgepole Pine"
3228,250,17,598,162,6061,182,250,204,2053,"Rawah","7746","Lodgepole Pine"
2691,98,12,120,22,2400,239,223,113,680,"Comanche Peak","4703","Lodgepole Pine"
3153,211,18,258,69,2670,203,254,181,1040,"Comanche Peak","7202","Lodgepole Pine"
3173,79,15,192,-12,2882,239,211,98,1947,"Comanche Peak","7755","Spruce-Fir"
3284,24,13,573,117,1154,213,211,133,2352,"Rawah","7202","Lodgepole Pine"
3178,142,8,566,6,4522,232,238,138,1812,"Rawah","7745","Spruce-Fir"
3367,328,16,362,82,1072,179,219,179,2883,"Comanche Peak","7756","Spruce-Fir"
2846,326,5,90,4,2310,206,234,166,1006,"Comanche Peak","7202","Spruce-Fir"
2829,257,21,180,63,1965,165,247,217,1710,"Comanche Peak","4758","Lodgepole Pine"
3054,86,9,30,4,3238,234,225,122,2475,"Rawah","7202","Spruce-Fir"
3205,180,6,446,30,4179,223,244,156,2848,"Rawah","7101","Spruce-Fir"
3133,153,14,666,96,1855,236,240,132,834,"Comanche Peak","7756","Lodgepole Pine"
2919,357,10,450,33,3153,204,221,155,3697,"Rawah","7746","Lodgepole Pine"
3108,290,20,691,295,1872,159,232,212,677,"Comanche Peak","4758","Lodgepole Pine"
3217,78,12,800,55,1315,235,219,114,2721,"Neota","7202","Lodgepole Pine"
3060,311,14,242,31,3182,182,230,187,800,"Comanche Peak","7756","Spruce-Fir"
3366,187,17,560,171,2173,220,250,157,1106,"Comanche Peak","7756","Spruce-Fir"
2908,200,29,234,-8,2334,195,250,171,1618,"Comanche Peak","4758","Lodgepole Pine"
3075,136,25,150,50,2483,249,221,84,1565,"Comanche Peak","7709","Spruce-Fir"
3044,45,11,571,10,6482,223,216,126,3596,"Rawah","7745","Spruce-Fir"
2779,288,23,240,112,2081,150,231,218,283,"Comanche Peak","7757","Lodgepole Pine"
2983,225,11,977,139,2916,206,250,181,1406,"Comanche Peak","7702","Lodgepole Pine"
3175,274,14,633,31,6164,183,243,199,1123,"Rawah","7746","Lodgepole Pine"
2900,338,13,120,26,1064,192,222,168,2067,"Comanche Peak","7755","Lodgepole Pine"
2510,324,14,192,41,150,183,224,180,424,"Cache la Poudre","2717","Lodgepole Pine"
2470,301,12,95,30,242,185,234,189,153,"Cache la Poudre","4703","Lodgepole Pine"
2867,133,9,212,18,3097,235,236,132,2893,"Rawah","4744","Lodgepole Pine"
2934,18,27,170,75,1362,188,174,111,3088,"Comanche Peak","7700","Spruce-Fir"
3216,193,14,234,-9,3346,218,250,163,752,"Comanche Peak","7757","Lodgepole Pine"
2726,354,40,170,15,1756,126,141,132,4339,"Rawah","7745","Lodgepole Pine"
2906,44,14,60,16,1633,222,209,118,1230,"Comanche Peak","7755","Lodgepole Pine"
2750,60,13,150,35,1132,230,212,113,2223,"Comanche Peak","7755","Lodgepole Pine"
3181,275,11,60,10,5716,191,243,191,1683,"Rawah","7101","Lodgepole Pine"
3325,185,11,745,-3,743,222,248,157,4568,"Neota","7757","Spruce-Fir"
2803,84,2,201,12,2334,222,235,149,2221,"Rawah","4744","Lodgepole Pine"
2952,282,15,342,16,4459,179,240,201,5145,"Rawah","7101","Lodgepole Pine"
3208,187,33,283,41,2984,204,242,146,964,"Comanche Peak","7756","Lodgepole Pine"
3049,18,22,134,9,2496,197,189,122,4199,"Rawah","7745","Spruce-Fir"
3244,90,3,95,2,6184,224,234,146,390,"Rawah","7201","Spruce-Fir"
2836,117,7,366,35,2520,232,234,135,2713,"Rawah","7746","Lodgepole Pine"
3248,350,10,150,35,3226,202,224,159,4127,"Rawah","8771","Spruce-Fir"
2636,14,6,0,0,1440,215,228,150,730,"Comanche Peak","7757","Spruce-Fir"
3260,128,22,30,0,5983,250,220,0,636,"Rawah","8771","Spruce-Fir"
3257,0,11,218,36,3625,203,219,153,3692,"Rawah","7745","Spruce-Fir"
2922,54,6,258,49,4287,224,227,138,6373,"Rawah","4744","Lodgepole Pine"
2902,77,21,285,120,1376,241,197,76,2075,"Comanche Peak","7757","Lodgepole Pine"
3041,59,10,339,39,3084,228,219,124,421,"Rawah","7201","Spruce-Fir"
3125,339,13,469,79,5122,191,221,168,751,"Rawah","7745","Lodgepole Pine"
2838,149,17,60,5,3190,240,237,121,1976,"Rawah","4744","Lodgepole Pine"
2865,315,20,60,24,706,162,219,195,1896,"Comanche Peak","7700","Lodgepole Pine"
3261,17,11,702,37,2864,211,218,142,3371,"Comanche Peak","7755","Spruce-Fir"
3012,38,11,339,58,2138,220,216,129,685,"Rawah","7746","Lodgepole Pine"
2810,168,15,216,55,3360,230,245,142,3104,"Rawah","4744","Lodgepole Pine"
3041,77,8,306,39,1189,231,225,127,2897,"Rawah","7745","Lodgepole Pine"
2610,26,14,30,-1,2130,213,208,129,1040,"Comanche Peak","4703","Lodgepole Pine"
3010,114,14,301,0,1057,243,225,108,853,"Rawah","7745","Lodgepole Pine"
3368,302,14,313,23,5252,179,233,193,875,"Rawah","8772","Spruce-Fir"
3155,253,6,510,114,1167,206,244,177,1129,"Comanche Peak","7756","Lodgepole Pine"
3132,185,12,190,27,2125,222,248,157,598,"Comanche Peak","7756","Lodgepole Pine"
2798,316,26,300,150,1198,142,207,200,1401,"Comanche Peak","7700","Lodgepole Pine"
3011,98,13,395,-8,1620,241,221,107,1189,"Comanche Peak","7756","Lodgepole Pine"
2922,325,19,42,16,636,168,215,185,1976,"Comanche Peak","7700","Spruce-Fir"
3027,98,10,335,39,1167,237,225,118,1873,"Comanche Peak","7201","Spruce-Fir"
2786,204,11,350,63,3890,214,250,170,1806,"Comanche Peak","7702","Lodgepole Pine"
2985,94,13,390,36,4362,240,221,109,4137,"Rawah","7745","Lodgepole Pine"
3030,298,15,201,49,2642,177,234,196,1728,"Comanche Peak","7756","Spruce-Fir"
3206,60,14,85,0,2850,230,209,108,1842,"Comanche Peak","7755","Spruce-Fir"
3438,0,2,560,43,2605,216,235,156,1740,"Comanche Peak","8771","Spruce-Fir"
2571,78,13,108,18,228,236,216,109,1507,"Rawah","4744","Lodgepole Pine"
3391,329,15,878,163,2280,183,221,177,1218,"Comanche Peak","7756","Spruce-Fir"
3198,0,13,618,180,4512,200,215,152,2223,"Rawah","7745","Spruce-Fir"
3256,320,24,201,63,4357,153,210,194,2403,"Comanche Peak","7756","Spruce-Fir"
3059,331,14,342,33,4710,186,222,175,2912,"Rawah","7745","Spruce-Fir"
3302,17,17,474,90,5165,204,202,131,335,"Rawah","8771","Spruce-Fir"
